Category,Key,English,Swahili,File,Line
"you-have-a-pending-withdrawal-please-wait-for-it-to-complete-before-requesting-another","You have a pending withdrawal. Please wait for it to complete before requesting another.","","components/wallet/UnifiedWithdrawalForm.tsx",222
"withdrawal-amount","Withdrawal Amount *","","components/wallet/UnifiedWithdrawalForm.tsx",236
"insufficient-balance-you-need-to-earn-money-first","⚠️ Insufficient balance. You need to earn money first!","","components/wallet/UnifiedWithdrawalForm.tsx",258
"mobile-money-number","Mobile Money Number *","","components/wallet/UnifiedWithdrawalForm.tsx",266
"processing","Processing...","","components/wallet/UnifiedWithdrawalForm.tsx",319
"request-withdrawal","Request Withdrawal","","components/wallet/UnifiedWithdrawalForm.tsx",323
"transaction-history","Transaction History","","components/wallet/TransactionsList.tsx",125
"all-types","All Types","","components/wallet/TransactionsList.tsx",142
"credit","Credit","","components/wallet/TransactionsList.tsx",146
"debit","Debit","","components/wallet/TransactionsList.tsx",152
"all-status","All Status","","components/wallet/TransactionsList.tsx",167
"completed","Completed","","components/wallet/TransactionsList.tsx",171
"pending","Pending","","components/wallet/TransactionsList.tsx",177
"clear","Clear","","components/wallet/TransactionsList.tsx",198
"credit-only","Credit Only","","components/wallet/TransactionsList.tsx",212
"debit-only","Debit Only","","components/wallet/TransactionsList.tsx",217
"completed-only","Completed Only","","components/wallet/TransactionsList.tsx",227
"pending-only","Pending Only","","components/wallet/TransactionsList.tsx",233
"failed-only","Failed Only","","components/wallet/TransactionsList.tsx",239
"no-transactions-found","No transactions found","","components/wallet/TransactionsList.tsx",261
"your-transaction-history-will-appear-here","Your transaction history will appear here","","components/wallet/TransactionsList.tsx",264
"previous","Previous","","components/wallet/TransactionsList.tsx",339
"page","Page","","components/wallet/TransactionsList.tsx",342
"of","of","","components/wallet/TransactionsList.tsx",342
"next","Next","","components/wallet/TransactionsList.tsx",350
"best-seller","Best Seller","","components/ui/product-modal.tsx",170
"organic","Organic","","components/ui/product-modal.tsx",175
"in-stock","In Stock","","components/ui/product-modal.tsx",222
"visit","Visit","","components/ui/product-modal.tsx",246
"reviews","reviews","","components/ui/product-modal.tsx",269
"save","Save","","components/ui/product-modal.tsx",287
"choose-size","Choose Size","","components/ui/product-modal.tsx",304
"total","Total","","components/ui/product-modal.tsx",356
"add-to-cart","Add to Cart","","components/ui/product-modal.tsx",367
"free-delivery","Free Delivery","","components/ui/product-modal.tsx",375
"100-guarantee","100% Guarantee","","components/ui/product-modal.tsx",379
"secure-packaging","Secure Packaging","","components/ui/product-modal.tsx",383
"about-this-product","About this product","","components/ui/product-modal.tsx",390
"back-online","Back online","","components/ui/offline-indicator.tsx",36
"you-re-offline","You're offline","","components/ui/offline-indicator.tsx",41
"push-notifications","Push Notifications","","components/notifications/NotificationPermission.tsx",52
"active-you-receive-notifications","Active - You receive notifications","","components/notifications/NotificationPermission.tsx",55
"inactive-enable-to-receive-alerts","Inactive - Enable to receive alerts","","components/notifications/NotificationPermission.tsx",56
"auto-managed-subscribes-on-login","🤖 Auto-managed (subscribes on login)","","components/notifications/NotificationPermission.tsx",60
"manual-control","⚙️ Manual control","","components/notifications/NotificationPermission.tsx",62
"disabled","🚫 Disabled","","components/notifications/NotificationPermission.tsx",63
"loading","Loading...","","components/notifications/NotificationPermission.tsx",76
"disable","Disable","","components/notifications/NotificationPermission.tsx",78
"blocked","Blocked","","components/notifications/NotificationPermission.tsx",80
"enable","Enable","","components/notifications/NotificationPermission.tsx",81
"notifications-are-blocked-please-enable-them-in-your-browser-settings","Notifications are blocked. Please enable them in your browser settings.","","components/notifications/NotificationPermission.tsx",89
"auto-mode-notifications-will-automatically-subscribe-when-you-login-and-unsubscribe-when-you-logout","💡 Auto mode: Notifications will automatically subscribe when you login and unsubscribe when you logout.","","components/notifications/NotificationPermission.tsx",97
"configuration-error","Configuration error","","components/notifications/AutoNotificationSubscriber.tsx",103
"vapid-key-not-configured-please-contact-support","VAPID key not configured. Please contact support.","","components/notifications/AutoNotificationSubscriber.tsx",104
"notification-activation-failed","Notification activation failed","","components/notifications/AutoNotificationSubscriber.tsx",117
"you-can-activate-them-in-your-browser-settings","You can activate them in your browser settings.","","components/notifications/AutoNotificationSubscriber.tsx",118
"subscribed-to-push-notifications","✅ Subscribed to push notifications","","components/notifications/AutoNotificationSubscriber.tsx",167
"you-will-now-receive-push-notifications-for-new-orders","You will now receive push notifications for new orders.","","components/notifications/AutoNotificationSubscriber.tsx",168
"error-activating-notifications","Error activating notifications","","components/notifications/AutoNotificationSubscriber.tsx",181
"unknown-error-occurred","Unknown error occurred","","components/notifications/AutoNotificationSubscriber.tsx",182
"unsubscribed-from-push-notifications","✅ Unsubscribed from push notifications","","components/notifications/AutoNotificationSubscriber.tsx",214
"you-will-no-longer-receive-push-notifications-for-new-orders","You will no longer receive push notifications for new orders.","","components/notifications/AutoNotificationSubscriber.tsx",215
"error-unsubscribing","Error unsubscribing","","components/notifications/AutoNotificationSubscriber.tsx",227
"please-try-again-later","Please try again later","","components/notifications/AutoNotificationSubscriber.tsx",228
"stay-updated-enable-notifications-to-get-real-time-order-alerts","Stay updated! Enable notifications to get real-time order alerts.","","components/notifications/AutoNotificationSubscriber.tsx",355
"my-stores","My Stores","","components/merchants/StoresList.tsx",42
"store","store","","components/merchants/StoresList.tsx",45
"no-stores-found","No stores found","","components/merchants/StoresList.tsx",52
"current","Current","","components/merchants/StoresList.tsx",93
"verified","Verified","","components/merchants/StoresList.tsx",108
